OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,City,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
IN-2025-10094,2025-12-13,2025-12-14,Same Day,CUST-102,Pari Verma,Corporate,Lucknow,West,Office Supplies,Art,3064.76,2,0.15,932.98
IN-2025-10095,2025-06-01,2025-06-03,Same Day,CUST-124,Aditya Mishra,Consumer,Hyderabad,West,Office Supplies,Art,2036.26,5,0.25,608.72
IN-2025-10096,2025-04-11,2025-04-14,Second Class,CUST-105,Sneha Nair,Consumer,Jaipur,Central,Technology,Accessories,28098.13,3,0.05,9564.36
IN-2025-10097,2025-03-04,2025-03-07,Second Class,CUST-112,Meera Patel,Home Office,Mumbai,South,Office Supplies,Art,1820.23,8,0.25,620.58
IN-2025-10098,2025-11-19,2025-11-24,First Class,CUST-121,Arjun Joshi,Consumer,Ahmedabad,West,Office Supplies,Paper,3217.9,6,0.2,1119.36
IN-2025-10099,2025-05-03,2025-05-07,Same Day,CUST-103,Vivaan Kumar,Corporate,Mumbai,North,Office Supplies,Fasteners,2238.84,1,0.15,706.75
IN-2025-10100,2025-10-26,2025-10-28,First Class,CUST-139,Kavya Yadav,Consumer,New Delhi,West,Technology,Accessories,73766.99,3,0.0,10282.8
IN-2025-10101,2025-12-08,2025-12-12,Same Day,CUST-134,Sneha Reddy,Consumer,Chennai,East,Furniture,Furnishings,12060.47,1,0.25,621.24
IN-2025-10102,2025-06-21,2025-06-22,First Class,CUST-107,Pooja Nair,Corporate,Pune,East,Office Supplies,Envelopes,4346.25,3,0.1,1524.12
IN-2025-10103,2025-10-03,2025-10-05,First Class,CUST-120,Ananya Patel,Home Office,Mumbai,East,Office Supplies,Art,2466.58,3,0.25,695.87
IN-2025-10104,2025-12-23,2025-12-28,Standard Class,CUST-128,Sneha Kumar,Consumer,Chennai,East,Technology,Phones,27475.2,4,0.05,8138.59
IN-2025-10105,2025-03-05,2025-03-06,First Class,CUST-107,Sneha Chauhan,Home Office,Jaipur,North,Office Supplies,Paper,4186.36,7,0.05,1484.1
IN-2025-10106,2025-03-06,2025-03-11,Second Class,CUST-129,Vivaan Mishra,Corporate,Hyderabad,West,Office Supplies,Paper,3049.18,4,0.2,1207.32
IN-2025-10107,2025-05-08,2025-05-12,Second Class,CUST-124,Riya Joshi,Corporate,Pune,West,Office Supplies,Fasteners,1767.66,4,0.2,425.15
IN-2025-10108,2025-05-05,2025-05-06,Same Day,CUST-124,Pooja Verma,Home Office,Jaipur,North,Furniture,Chairs,23306.78,3,0.15,742.03
IN-2025-10109,2025-04-03,2025-04-07,First Class,CUST-102,Aadhya Sharma,Corporate,Jaipur,East,Technology,Printers,67155.09,1,0.1,13849.39
IN-2025-10110,2025-12-04,2025-12-07,Second Class,CUST-109,Vivaan Singh,Corporate,Bengaluru,West,Furniture,Chairs,30388.07,4,0.05,-1346.16
IN-2025-10111,2025-12-18,2025-12-23,Same Day,CUST-108,Ishaan Gupta,Corporate,Mumbai,North,Technology,Printers,49726.62,2,0.0,13090.36
IN-2025-10112,2025-08-27,2025-08-32,Standard Class,CUST-133,Riya Gupta,Home Office,Bengaluru,East,Furniture,Chairs,21540.21,7,0.05,477.53
IN-2025-10113,2025-11-22,2025-11-23,First Class,CUST-105,Sneha Yadav,Home Office,Jaipur,Central,Technology,Printers,59519.88,7,0.1,7738.35
IN-2025-10114,2025-12-09,2025-12-10,First Class,CUST-105,Saanvi Gupta,Home Office,Mumbai,Central,Office Supplies,Paper,630.28,6,0.25,181.57
IN-2025-10115,2025-11-06,2025-11-10,Same Day,CUST-112,Arjun Verma,Home Office,Ahmedabad,North,Furniture,Tables,3961.62,1,0.1,38.99
IN-2025-10116,2025-09-10,2025-09-14,Same Day,CUST-117,Vivaan Chauhan,Home Office,Hyderabad,East,Furniture,Chairs,27634.99,2,0.1,1370.07
IN-2025-10117,2025-07-14,2025-07-18,Same Day,CUST-122,Sai Joshi,Home Office,Ahmedabad,East,Office Supplies,Paper,3438.68,2,0.15,1312.79
IN-2025-10118,2025-03-20,2025-03-25,First Class,CUST-121,Vihaan Verma,Corporate,Pune,East,Furniture,Furnishings,8332.63,8,0.0,693.05
IN-2025-10119,2025-06-24,2025-06-29,Same Day,CUST-118,Vivaan Verma,Home Office,Kolkata,East,Office Supplies,Envelopes,2768.94,3,0.2,1213.34
IN-2025-10120,2025-08-22,2025-08-23,Second Class,CUST-105,Ayaan Chauhan,Home Office,Chennai,East,Furniture,Chairs,20126.73,6,0.1,3093.85
IN-2025-10121,2025-02-15,2025-02-20,Second Class,CUST-134,Saanvi Mishra,Corporate,Pune,South,Technology,Laptops,45197.79,7,0.2,10611.54
IN-2025-10122,2025-05-04,2025-05-07,Same Day,CUST-114,Meera Singh,Home Office,Ahmedabad,South,Technology,Phones,64697.84,8,0.0,14490.36
IN-2025-10123,2025-11-26,2025-11-29,First Class,CUST-105,Pooja Yadav,Corporate,Pune,South,Office Supplies,Envelopes,3720.93,6,0.2,1337.4
IN-2025-10124,2025-02-08,2025-02-10,Second Class,CUST-116,Kavya Sharma,Corporate,Jaipur,Central,Furniture,Furnishings,28717.18,2,0.0,3316.66
IN-2025-10125,2025-07-10,2025-07-14,Same Day,CUST-127,Riya Verma,Consumer,Chennai,North,Furniture,Furnishings,23525.32,3,0.05,1255.18
IN-2025-10126,2025-09-14,2025-09-15,Standard Class,CUST-134,Arjun Singh,Consumer,Bengaluru,East,Office Supplies,Binders,1860.91,5,0.0,809.92
IN-2025-10127,2025-04-09,2025-04-14,First Class,CUST-109,Ishaan Reddy,Home Office,Mumbai,Central,Office Supplies,Binders,2280.51,3,0.25,787.14
IN-2025-10128,2025-12-20,2025-12-25,First Class,CUST-137,Vivaan Mehta,Consumer,Mumbai,North,Office Supplies,Fasteners,1176.28,7,0.2,297.25
IN-2025-10129,2025-01-21,2025-01-25,First Class,CUST-120,Kavya Gupta,Home Office,Kolkata,East,Furniture,Chairs,21280.29,7,0.15,-54.82
IN-2025-10130,2025-04-15,2025-04-18,Second Class,CUST-121,Diya Iyer,Corporate,Kolkata,South,Furniture,Chairs,11229.95,5,0.15,1010.04
IN-2025-10131,2025-03-08,2025-03-09,Standard Class,CUST-119,Ananya Mehta,Home Office,Kolkata,South,Technology,Accessories,66844.48,4,0.05,19108.13
IN-2025-10132,2025-09-16,2025-09-20,Same Day,CUST-120,Kavya Sharma,Consumer,Kolkata,Central,Furniture,Tables,8896.16,1,0.1,497.02
IN-2025-10133,2025-10-16,2025-10-20,First Class,CUST-135,Aarav Mehta,Consumer,Kolkata,South,Furniture,Bookcases,27443.42,7,0.0,1640.6
IN-2025-10134,2025-09-19,2025-09-21,First Class,CUST-136,Ishaan Verma,Corporate,Jaipur,West,Office Supplies,Paper,3953.42,2,0.05,1406.67
IN-2025-10135,2025-07-04,2025-07-07,First Class,CUST-136,Saanvi Chauhan,Consumer,Hyderabad,Central,Office Supplies,Art,1950.28,3,0.25,412.14
IN-2025-10136,2025-08-11,2025-08-16,Same Day,CUST-110,Meera Yadav,Consumer,Chennai,Central,Furniture,Tables,12459.64,5,0.2,1681.43
IN-2025-10137,2025-09-11,2025-09-16,Same Day,CUST-137,Ishaan Joshi,Consumer,Chennai,East,Office Supplies,Storage,3922.81,1,0.2,1357.0
IN-2025-10138,2025-05-16,2025-05-21,Second Class,CUST-104,Riya Joshi,Consumer,Jaipur,Central,Furniture,Tables,27828.5,2,0.05,630.57
IN-2025-10139,2025-08-01,2025-08-04,Same Day,CUST-110,Aadhya Iyer,Consumer,Kolkata,Central,Office Supplies,Art,3292.15,1,0.25,1264.05
IN-2025-10140,2025-09-05,2025-09-07,First Class,CUST-131,Sneha Mishra,Corporate,Bengaluru,West,Office Supplies,Paper,2257.69,5,0.2,833.01
IN-2025-10141,2025-04-16,2025-04-18,First Class,CUST-136,Ishaan Gupta,Corporate,Pune,South,Office Supplies,Envelopes,2292.49,5,0.1,733.48
IN-2025-10142,2025-10-04,2025-10-09,Same Day,CUST-126,Saanvi Chauhan,Consumer,Pune,North,Furniture,Chairs,10562.72,5,0.25,873.67
IN-2025-10143,2025-04-16,2025-04-18,First Class,CUST-136,Krishna Patel,Consumer,Lucknow,Central,Technology,Phones,6415.18,4,0.25,2105.41
IN-2025-10144,2025-01-08,2025-01-09,Same Day,CUST-122,Kavya Verma,Home Office,Bengaluru,North,Office Supplies,Binders,1830.19,8,0.15,793.86
IN-2025-10145,2025-04-21,2025-04-24,First Class,CUST-119,Vivaan Chauhan,Consumer,Lucknow,South,Office Supplies,Envelopes,3120.32,3,0.15,1354.74
IN-2025-10146,2025-03-27,2025-03-28,Same Day,CUST-132,Sai Iyer,Corporate,New Delhi,North,Furniture,Chairs,24532.92,8,0.25,1239.22
IN-2025-10147,2025-09-18,2025-09-22,Second Class,CUST-133,Pari Singh,Consumer,Mumbai,East,Technology,Printers,37784.98,1,0.25,10779.21
IN-2025-10148,2025-05-11,2025-05-16,Second Class,CUST-112,Meera Mehta,Home Office,Kolkata,West,Office Supplies,Paper,585.52,3,0.05,215.07
IN-2025-10149,2025-06-16,2025-06-18,Standard Class,CUST-117,Ananya Gupta,Corporate,Pune,East,Furniture,Chairs,11369.7,4,0.0,657.91
IN-2025-10150,2025-02-22,2025-02-26,First Class,CUST-111,Ananya Nair,Home Office,Pune,North,Office Supplies,Paper,1669.58,3,0.15,426.1
IN-2025-10151,2025-08-05,2025-08-10,First Class,CUST-127,Pooja Joshi,Home Office,Hyderabad,South,Office Supplies,Fasteners,3512.84,8,0.2,774.47
IN-2025-10152,2025-06-23,2025-06-24,Standard Class,CUST-104,Pooja Yadav,Consumer,Lucknow,Central,Technology,Phones,20976.17,2,0.25,5027.54
IN-2025-10153,2025-12-07,2025-12-12,Same Day,CUST-106,Sneha Joshi,Consumer,Ahmedabad,South,Office Supplies,Art,1794.47,8,0.25,384.8
IN-2025-10154,2025-05-26,2025-05-27,Same Day,CUST-117,Aarav Iyer,Consumer,Lucknow,North,Technology,Printers,29117.02,1,0.0,3921.04
IN-2025-10155,2025-01-16,2025-01-19,Same Day,CUST-112,Arjun Chauhan,Home Office,Kolkata,East,Furniture,Furnishings,30827.85,7,0.0,6844.71
IN-2025-10156,2025-11-22,2025-11-27,Second Class,CUST-123,Vihaan Patel,Home Office,Kolkata,Central,Technology,Phones,53921.88,5,0.15,15848.79
IN-2025-10157,2025-12-22,2025-12-27,Same Day,CUST-135,Ananya Mehta,Consumer,Hyderabad,West,Furniture,Tables,11820.79,2,0.0,2733.24
IN-2025-10158,2025-11-26,2025-11-30,Standard Class,CUST-116,Reyansh Verma,Consumer,Lucknow,North,Furniture,Chairs,10289.92,8,0.05,-377.94
IN-2025-10159,2025-04-18,2025-04-19,Second Class,CUST-133,Ishaan Gupta,Home Office,Lucknow,East,Office Supplies,Fasteners,3517.36,4,0.1,1423.11
IN-2025-10160,2025-11-05,2025-11-10,Second Class,CUST-127,Ishaan Singh,Consumer,Jaipur,Central,Office Supplies,Binders,3204.77,8,0.0,983.22
IN-2025-10161,2025-11-12,2025-11-16,First Class,CUST-127,Aadhya Patel,Corporate,Kolkata,South,Office Supplies,Art,1153.15,3,0.15,295.59
IN-2025-10162,2025-09-02,2025-09-06,Same Day,CUST-136,Sneha Patel,Corporate,Hyderabad,East,Technology,Accessories,50269.41,6,0.0,16695.07
IN-2025-10163,2025-12-18,2025-12-20,Standard Class,CUST-118,Ananya Nair,Home Office,Lucknow,North,Technology,Phones,52126.71,4,0.15,13299.83
IN-2025-10164,2025-06-07,2025-06-10,Standard Class,CUST-114,Reyansh Iyer,Consumer,Ahmedabad,South,Office Supplies,Fasteners,2862.47,4,0.2,856.33
IN-2025-10165,2025-05-11,2025-05-15,Same Day,CUST-135,Saanvi Singh,Corporate,Chennai,Central,Furniture,Furnishings,5539.91,8,0.1,1353.93
IN-2025-10166,2025-06-07,2025-06-10,Same Day,CUST-103,Riya Mehta,Consumer,Bengaluru,North,Furniture,Furnishings,10579.23,4,0.15,93.71
IN-2025-10167,2025-04-19,2025-04-23,First Class,CUST-117,Kavya Iyer,Home Office,Ahmedabad,West,Technology,Accessories,16006.17,8,0.05,4572.52
IN-2025-10168,2025-11-18,2025-11-19,Standard Class,CUST-105,Vivaan Chauhan,Consumer,Kolkata,South,Office Supplies,Binders,421.0,4,0.2,100.1
IN-2025-10169,2025-06-15,2025-06-16,Same Day,CUST-132,Aarav Sharma,Home Office,Jaipur,West,Technology,Laptops,42059.24,5,0.0,7704.85
